Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Chevrolet Traverse,"11,258","10,807","12,158","12,399","14,307","11,446","13,525","15,148","12,443","11,073","11,483","11,075"
Chevrolet Trax,"8,086","7,762","8,732","7,082","8,171","6,537","12,305","13,782","11,321","10,879","11,282","10,878"
Chevrolet Volt,829,796,895,372,430,344,288,322,265,122,126,122
Chrysler 200,12,6,8,3,6,-,3,4,3,1,1,1
Chrysler 300,"2,078","2,508","3,704","1,998","2,665","2,904","2,578","2,887","2,371","1,818","1,885","1,818"
Chrysler Pacifica,"6,963","7,854","8,457","6,984","8,232","10,037","7,137","7,994","6,566","9,049","9,384","9,049"
Chrysler Town and Country,1,-,-,2,-,-,1,-,-,-,-,-
Dodge Avenger,-,-,-,-,1,-,-,-,-,-,-,-
Dodge Challenger,"3,230","3,639","6,562","4,422","5,748","5,067","5,931","6,643","5,457","4,708","4,882","4,708"
Dodge Charger,"5,210","6,547","8,858","6,101","9,296","9,034","8,572","9,601","7,887","8,505","8,820","8,505"
Dodge Dart,3,3,2,2,-,-,3,-,-,1,1,1
Dodge Durango,"4,288","6,105","6,626","6,171","8,263","5,538","5,142","5,759","4,730","4,931","5,114","4,931"
Dodge Grand Caravan,"7,113","12,521","15,806","7,483","16,809","12,215","9,032","10,115","8,309","7,654","7,937","7,654"
Dodge Journey,"7,232","8,258","8,513","7,082","7,642","6,704","5,581","6,250","5,134","4,047","4,197","4,047"
Dodge Viper,1,-,-,1,-,3,-,-,-,-,-,-
Fiat 124 Spider,160,139,214,329,349,337,226,253,208,142,147,142
Fiat 500,261,207,310,273,335,306,288,323,265,230,239,230
Fiat 500L,56,51,61,72,69,90,68,76,62,55,57,55
Fiat 500X,274,219,262,257,272,200,195,218,179,146,151,146
Ford C-Max,17,5,6,7,8,6,-,-,-,-,-,-
Ford E-Series,"3,550","3,408","3,834","3,757","4,335","3,468","3,248","3,638","2,988","4,227","4,383","4,227"
Ford EcoSport,128,"4,067","4,575","6,990","8,065","6,452","5,352","5,995","4,924","4,627","4,797","4,627"
Ford Edge,"10,171","9,764","10,985","10,827","12,493","9,994","12,059","13,506","11,094","12,388","12,846","12,387"
Ford Escape,"19,968","19,169","21,565","23,529","27,149","21,719","19,967","22,364","18,370","15,669","16,249","15,669"
Ford Expedition,"7,162","6,876","7,735","7,084","8,174","6,539","6,114","6,847","5,625","7,991","8,286","7,990"
Ford Explorer,"20,369","19,554","21,999","12,968","14,963","11,970","11,169","12,509","10,276","16,887","17,511","16,886"
Ford F-Series,"70,596","67,772","76,243","75,981","87,670","70,136","70,453","78,907","64,816","77,033","79,886","77,033"
Ford Fiesta,"5,244","5,035","5,664","7,206","8,315","6,652","4,841","5,422","4,454","2,409","2,497","2,409"
Ford Flex,"1,828","1,755","1,974","2,342","2,702","2,162","1,834","2,054","1,687","2,025","2,098","2,024"
Ford Focus,"3,404","3,268","3,677",693,799,639,-,-,-,-,-,-
Ford Fusion,"13,712","13,163","14,808","17,767","20,501","16,400","12,354","13,837","11,366","10,582","10,973","10,582"
Ford GT,28,27,30,17,19,15,171,192,157,14,14,14
Ford Mustang,"5,565","5,342","6,010","7,028","8,109","6,488","5,534","6,198","5,091","5,639","5,847","5,638"
Ford Ranger,"3,099","2,975","3,347","6,786","7,830",264,"8,622","9,657","7,932","10,886","11,287","10,886"
Ford Taurus,"2,510","2,409","2,711","1,268","1,463","1,171",340,381,313,283,292,282
Ford Transit,"10,474","10,055","11,312","13,411","15,474","12,380","14,433","16,165","13,278","12,146","12,594","12,145"
Ford Transit Connect,"2,941","2,823","3,176","3,547","4,092","3,274","3,795","4,250","3,491","3,362","3,485","3,361"
Genesis G70,596,819,817,844,"1,447","1,193",905,"1,015",871,"1,021","1,153","1,222"
Genesis G80,473,533,475,632,708,532,520,544,446,625,820,787
